Time BufferSize VideoLevel DownloadTime RequestInterval BufferVariation, PreviousQuality
0.00 0.00 450 0.00 0.00 2.00 0
1.00 3.00 1200 0.15 0.00 1.85 450
2.00 8.00 1200 0.31 0.00 1.69 1200
3.00 15.00 1200 0.31 0.00 1.69 1200
4.00 18.00 1200 0.31 0.16 1.52 1200
5.00 21.00 1200 0.31 0.49 1.20 1200
6.00 22.00 1200 0.31 0.84 0.85 1200
7.00 23.00 1200 0.31 0.77 0.92 1200
8.00 24.00 1200 0.31 0.90 0.79 1200
9.00 25.00 1200 0.31 1.66 0.03 1200
10.00 24.00 1200 0.31 1.66 0.03 1200
11.00 23.00 1950 0.31 1.66 0.03 1200
12.00 24.00 1950 0.48 1.51 0.01 1950
13.00 23.00 1950 0.48 1.51 0.01 1950
14.00 24.00 1950 0.48 1.37 0.15 1950
15.00 25.00 1950 0.48 1.24 0.29 1950
16.00 24.00 1950 0.48 1.24 0.29 1950
17.00 25.00 1950 0.48 1.12 0.40 1950
18.00 24.00 1950 0.48 1.12 0.40 1950
19.00 25.00 1950 0.48 1.61 -0.09 1950
20.00 24.00 3050 0.48 1.61 -0.09 1950
21.00 25.00 3050 0.72 1.47 -0.20 3050
22.00 24.00 3050 0.72 1.47 -0.20 3050
23.00 25.00 3050 0.72 1.35 -0.07 3050
24.00 24.00 3050 0.72 1.35 -0.07 3050
25.00 25.00 3050 0.72 1.25 0.03 3050
26.00 24.00 3050 0.72 1.25 0.03 3050
27.00 25.00 3050 0.72 1.61 -0.34 3050
28.00 24.00 3050 0.72 1.61 -0.34 3050
29.00 23.00 4250 0.72 1.61 -0.34 3050
30.00 24.00 4250 0.99 1.50 -0.49 4250
31.00 23.00 4250 0.99 1.50 -0.49 4250
32.00 24.00 4250 0.99 1.20 -0.19 4250
33.00 23.00 4250 0.99 1.20 -0.19 4250
34.00 22.00 4250 0.99 1.20 -0.19 4250
35.00 23.00 4250 0.99 1.11 -0.10 4250
36.00 22.00 4250 0.99 1.11 -0.10 4250
37.00 23.00 4250 0.99 1.04 -0.03 4250
38.00 22.00 4250 0.99 1.04 -0.03 4250
39.00 23.00 4250 0.99 1.48 -0.47 4250
40.00 22.00 6050 0.99 1.48 -0.47 4250
41.00 21.00 6050 0.99 1.48 -0.47 4250
42.00 22.00 6050 1.39 1.22 -0.60 6050
43.00 21.00 6050 1.39 1.22 -0.60 6050
44.00 22.00 6050 1.39 0.97 -0.35 6050
45.00 21.00 6050 1.39 0.97 -0.35 6050
46.00 20.00 6050 1.39 0.97 -0.35 6050
47.00 21.00 6050 1.39 0.93 -0.31 6050
48.00 20.00 6050 1.39 0.93 -0.31 6050
49.00 21.00 6050 1.39 0.90 -0.28 6050
50.00 20.00 6050 1.39 0.90 -0.28 6050
51.00 21.00 6050 1.39 0.67 -0.06 6050
52.00 20.00 6050 1.39 0.67 -0.06 6050
53.00 21.00 6050 1.39 0.65 -0.04 6050
54.00 20.00 6050 1.39 0.65 -0.04 6050
55.00 21.00 6050 1.39 0.64 -0.03 6050
56.00 20.00 6050 1.39 0.64 -0.03 6050
57.00 21.00 6050 1.39 0.63 -0.01 6050
58.00 20.00 6050 1.39 0.63 -0.01 6050
59.00 21.00 6050 1.39 0.62 -0.00 6050
60.00 20.00 6050 1.39 0.62 -0.00 6050
61.00 21.00 6050 1.39 0.62 -0.01 6050
62.00 20.00 6050 1.39 0.62 -0.01 6050
63.00 19.00 6050 1.39 0.62 -0.01 6050
64.00 20.00 6050 2.27 0.64 -0.91 6050
65.00 19.00 6050 2.27 0.64 -0.91 6050
66.00 18.00 6050 2.27 0.64 -0.91 6050
67.00 19.00 6050 1.69 0.85 -0.54 6050
68.00 18.00 6050 1.69 0.85 -0.54 6050
69.00 19.00 4250 1.65 0.43 -0.08 6050
70.00 20.00 4250 0.99 0.55 0.46 4250
71.00 19.00 4250 0.99 0.55 0.46 4250
72.00 20.00 4250 0.99 0.85 0.17 4250
73.00 19.00 4250 0.99 0.85 0.17 4250
74.00 20.00 4250 1.22 0.92 -0.14 4250
75.00 19.00 4250 1.22 0.92 -0.14 4250
76.00 20.00 4250 1.22 0.77 0.01 4250
77.00 19.00 4250 1.22 0.77 0.01 4250
78.00 20.00 4250 0.99 1.00 0.02 4250
79.00 19.00 4250 0.99 1.00 0.02 4250
80.00 20.00 4250 1.22 0.79 -0.01 4250
81.00 19.00 4250 1.22 0.79 -0.01 4250
82.00 20.00 4250 1.33 0.78 -0.11 4250
83.00 19.00 4250 1.33 0.78 -0.11 4250
84.00 20.00 4250 0.99 0.95 0.07 4250
85.00 19.00 4250 0.99 0.95 0.07 4250
86.00 20.00 4250 0.99 0.91 0.10 4250
87.00 19.00 4250 0.99 0.91 0.10 4250
88.00 20.00 4250 0.99 0.88 0.14 4250
89.00 19.00 4250 0.99 0.88 0.14 4250
90.00 20.00 4250 0.99 0.84 0.18 4250
91.00 19.00 4250 0.99 0.84 0.18 4250
92.00 20.00 4250 1.01 0.80 0.20 4250
93.00 21.00 4250 0.99 0.76 0.26 4250
94.00 20.00 4250 0.99 0.76 0.26 4250
95.00 19.00 4250 0.99 0.76 0.26 4250
96.00 20.00 4250 1.82 0.78 -0.60 4250
97.00 19.00 4250 1.82 0.78 -0.60 4250
98.00 20.00 4250 1.68 0.60 -0.28 4250
99.00 19.00 4250 1.68 0.60 -0.28 4250
100.00 20.00 4250 1.22 0.60 0.19 4250
101.00 19.00 4250 1.22 0.60 0.19 4250
102.00 20.00 4250 1.05 0.78 0.17 4250
103.00 19.00 4250 1.05 0.78 0.17 4250
104.00 20.00 4250 1.24 0.76 0.00 4250
105.00 19.00 4250 1.24 0.76 0.00 4250
106.00 20.00 4250 1.49 0.75 -0.23 4250
