Time2 BufferSize2 VideoLevel2 DownloadTime2 RequestInterval2 BufferVariation2, PreviousQuality2
60.00 0.00 450 0.00 0.00 2.00 0
61.00 0.00 450 0.00 0.00 2.00 0
62.00 7.00 700 0.40 0.00 1.60 700
63.00 10.00 700 0.39 0.00 1.61 700
64.00 17.00 700 0.20 0.00 1.80 700
65.00 22.00 700 0.39 0.43 1.18 700
66.00 23.00 700 0.39 1.29 0.32 700
67.00 22.00 1200 0.39 1.29 0.32 700
68.00 23.00 1200 0.63 1.15 0.22 1200
69.00 24.00 1200 0.31 1.20 0.49 1200
70.00 23.00 1200 0.31 1.20 0.49 1200
71.00 24.00 1200 0.31 1.05 0.64 1200
72.00 25.00 1200 0.31 1.11 0.57 1200
73.00 24.00 1200 0.31 1.11 0.57 1200
74.00 25.00 1200 0.60 1.62 -0.22 1200
75.00 24.00 1200 0.60 1.62 -0.22 1200
76.00 25.00 1950 0.68 1.44 -0.13 1950
77.00 24.00 1950 0.68 1.44 -0.13 1950
78.00 25.00 1950 0.55 1.29 0.17 1950
79.00 24.00 1950 0.55 1.29 0.17 1950
80.00 25.00 1950 0.69 1.16 0.15 1950
81.00 24.00 1950 0.69 1.16 0.15 1950
82.00 25.00 1950 0.85 1.68 -0.54 1950
83.00 24.00 1950 0.85 1.68 -0.54 1950
84.00 23.00 3050 0.85 1.68 -0.54 1950
85.00 24.00 3050 0.72 1.35 -0.07 3050
86.00 23.00 3050 0.72 1.35 -0.07 3050
87.00 24.00 3050 0.72 1.23 0.05 3050
88.00 23.00 3050 0.72 1.23 0.05 3050
89.00 24.00 3050 0.72 1.13 0.15 3050
90.00 23.00 3050 0.72 1.13 0.15 3050
91.00 24.00 3050 0.72 1.04 0.24 3050
92.00 25.00 3050 0.72 1.62 -0.34 3050
93.00 24.00 3050 0.72 1.62 -0.34 3050
94.00 23.00 4250 0.72 1.62 -0.34 3050
95.00 22.00 4250 0.72 1.62 -0.34 3050
96.00 23.00 4250 1.80 1.18 -0.98 4250
97.00 22.00 4250 1.80 1.18 -0.98 4250
98.00 21.00 4250 1.80 1.18 -0.98 4250
99.00 22.00 4250 1.66 1.02 -0.67 4250
100.00 21.00 4250 1.66 1.02 -0.67 4250
101.00 22.00 4250 1.26 1.03 -0.29 4250
102.00 21.00 4250 1.26 1.03 -0.29 4250
103.00 22.00 4250 1.22 1.03 -0.25 4250
104.00 21.00 4250 1.22 1.03 -0.25 4250
105.00 20.00 4250 1.22 1.03 -0.25 4250
106.00 21.00 4250 1.45 0.81 -0.26 4250
107.00 20.00 4250 1.45 0.81 -0.26 4250
108.00 21.00 4250 1.46 0.79 -0.24 4250
109.00 20.00 4250 1.46 0.79 -0.24 4250
110.00 21.00 4250 1.68 0.83 -0.51 4250
111.00 20.00 4250 1.68 0.83 -0.51 4250
112.00 19.00 4250 1.68 0.83 -0.51 4250
113.00 20.00 4250 1.91 0.69 -0.61 4250
114.00 19.00 4250 1.91 0.69 -0.61 4250
115.00 18.00 4250 1.91 0.69 -0.61 4250
116.00 19.00 4250 1.69 0.73 -0.42 4250
117.00 18.00 4250 1.69 0.73 -0.42 4250
118.00 19.00 4250 1.35 0.74 -0.09 4250
119.00 18.00 4250 1.35 0.74 -0.09 4250
120.00 19.00 4250 1.38 0.53 0.09 4250
121.00 18.00 4250 1.38 0.53 0.09 4250
122.00 17.00 4250 1.38 0.53 0.09 4250
123.00 18.00 3050 2.58 0.04 -0.61 4250
124.00 17.00 3050 2.58 0.04 -0.61 4250
125.00 18.00 3050 2.58 0.20 -0.78 3050
126.00 17.00 3050 2.58 0.20 -0.78 3050
127.00 16.00 3050 2.58 0.20 -0.78 3050
128.00 17.00 3050 2.76 0.00 -0.76 3050
129.00 16.00 3050 2.76 0.00 -0.76 3050
130.00 15.00 3050 2.76 0.00 -0.76 3050
131.00 16.00 3050 2.69 0.00 -0.69 3050
132.00 15.00 3050 2.69 0.00 -0.69 3050
133.00 14.00 3050 2.69 0.00 -0.69 3050
134.00 15.00 1950 2.74 0.00 -0.74 3050
135.00 14.00 1950 2.74 0.00 -0.74 3050
136.00 15.00 1950 1.85 0.00 0.15 1950
137.00 16.00 1950 1.79 0.00 0.21 1950
138.00 15.00 1950 1.79 0.00 0.21 1950
139.00 16.00 1950 1.79 0.00 0.21 1950
