Time_panda2 bufferSize_panda2 hasThroughput_panda2 estimatedBW_panda2 videoLevel_panda2 tcpThroughput_panda2
0.06 0 0.00 0.00 450 0.00
0.06 3 0.00 1188.01 700 0.00
0.06 10 1048.00 1305.14 700 0.00
0.06 15 257.00 1414.01 1200 0.00
0.06 18 0.00 1509.51 1200 0.00
0.07 19 411.00 1559.26 1200 0.00
0.07 20 0.00 1609.57 1200 0.00
0.07 21 0.00 1670.52 1200 0.00
0.07 22 0.00 1729.79 1200 0.00
0.07 21 2334.00 1729.79 1200 0.00
0.07 22 90.00 1797.87 1200 0.00
0.07 23 0.00 1862.86 1200 0.00
0.07 24 0.00 1925.36 1200 0.00
0.07 23 0.00 1925.36 1200 0.00
0.07 24 0.00 1996.03 1200 0.00
0.07 25 0.00 2063.08 1200 0.00
0.08 24 0.00 2063.08 1200 0.00
0.08 25 0.00 2127.24 1200 0.00
0.08 26 0.00 2189.08 1200 0.00
0.08 25 0.00 2189.08 1200 0.00
0.08 26 0.00 2253.67 1200 0.00
0.08 25 797.00 2253.67 1200 0.00
0.08 26 0.00 2326.01 1200 0.00
0.08 25 0.00 2326.01 1200 0.00
0.08 26 0.00 2394.40 1950 0.00
0.09 25 0.00 2394.40 1950 0.00
0.09 26 0.00 2465.20 1950 0.00
0.09 25 0.00 2465.20 1950 0.00
0.09 26 0.00 2537.94 1950 0.00
0.09 25 0.00 2537.94 1950 0.00
0.09 26 0.00 2612.23 1950 0.00
0.09 25 0.00 2612.23 1950 0.00
0.09 26 0.00 2687.75 1950 0.00
0.09 25 0.00 2687.75 1950 0.00
0.09 26 0.00 2764.23 1950 0.00
0.10 25 0.00 2764.23 1950 0.00
0.10 26 0.00 2841.51 1950 0.00
0.10 25 0.00 2841.51 1950 0.00
0.10 26 0.00 2919.42 1950 0.00
0.10 25 0.00 2919.42 1950 0.00
0.10 26 0.00 2997.85 1950 0.00
0.10 25 0.00 2997.85 1950 0.00
0.10 26 0.00 3076.69 1950 0.00
0.10 25 0.00 3076.69 1950 0.00
0.10 26 0.00 3155.85 1950 0.00
