Time_proposed bufferSize_proposed hasThroughput_proposed estimatedBW_proposed videoLevel_proposed tcpThroughput_proposed
0.00 0 0.00 0.00 450 0.00
0.00 3 1446.00 1416.67 1200 0.00
0.00 8 1998.00 1500.47 1200 0.00
0.00 15 0.00 1665.00 1200 0.00
0.00 18 1613.00 1758.73 1200 0.00
0.01 21 0.00 2080.94 1200 0.00
0.01 22 0.00 2701.40 1200 0.00
0.01 23 0.00 5133.51 1950 0.00
0.01 22 0.00 5133.51 1950 0.00
0.01 21 7053.00 5133.51 4250 0.00
0.01 22 0.00 6200.01 4250 0.00
0.01 21 7430.00 6200.01 4250 0.00
0.01 22 0.00 6847.27 4250 0.00
0.01 23 0.00 7273.75 4250 0.00
0.01 22 0.00 7273.75 4250 0.00
0.01 21 6709.00 7273.75 6050 0.00
0.02 22 0.00 7580.45 6050 0.00
0.02 21 1449.00 7580.45 6050 0.00
0.02 20 10498.00 7580.45 6050 0.00
0.02 21 0.00 7813.83 6050 0.00
0.02 20 7475.00 7813.83 6050 0.00
0.02 21 0.00 7998.77 6050 0.00
0.02 20 4780.00 7998.77 6050 0.00
0.02 21 0.00 8146.33 6050 0.00
0.02 20 4141.00 8146.33 6050 0.00
0.03 21 0.00 8264.29 6050 0.00
0.03 20 3694.00 8264.29 6050 0.00
0.03 21 0.00 8358.64 6050 0.00
0.03 20 3395.00 8358.64 6050 0.00
0.03 21 0.00 8434.11 6050 0.00
0.03 20 3215.00 8434.11 6050 0.00
0.03 21 0.00 8494.49 6050 0.00
0.03 20 3129.00 8494.49 6050 0.00
0.03 21 0.00 8542.79 6050 0.00
0.03 20 3113.00 8542.79 6050 0.00
0.04 21 0.00 8580.50 6050 0.00
0.04 20 3154.00 8580.50 6050 0.00
0.04 21 0.00 8611.39 6050 0.00
0.04 20 3239.00 8611.39 6050 0.00
0.04 21 0.00 8635.34 6050 0.00
0.04 20 3362.00 8635.34 6050 0.00
0.04 21 0.00 8655.25 6050 0.00
0.04 20 3514.00 8655.25 6050 0.00
0.04 21 0.00 8671.35 6050 0.00
0.04 20 3690.00 8671.35 6050 0.00
0.04 21 0.00 8684.27 6050 0.00
0.05 20 3883.00 8684.27 6050 0.00
0.05 21 0.00 8693.68 6050 0.00
0.05 20 4091.00 8693.68 6050 0.00
0.05 21 0.00 8701.01 6050 0.00
0.05 20 4309.00 8701.01 6050 0.00
0.05 21 0.00 8706.82 6050 0.00
0.05 20 4534.00 8706.82 6050 0.00
0.05 21 0.00 8711.46 6050 0.00
0.05 20 4767.00 8711.46 6050 0.00
0.06 21 0.00 8716.10 6050 0.00
0.06 20 5005.00 8716.10 6050 0.00
0.06 21 0.00 8720.02 6050 0.00
0.06 20 5251.00 8720.02 6050 0.00
0.06 21 0.00 8723.20 6050 0.00
0.06 20 5500.00 8723.20 6050 0.00
0.06 21 0.00 8718.00 6050 0.00
0.06 20 3510.00 8718.00 6050 0.00
0.06 19 8720.00 8718.00 6050 0.00
0.06 20 0.00 8198.80 6050 0.00
0.07 19 4657.00 8198.80 6050 0.00
0.07 20 0.00 7858.77 6050 0.00
0.07 19 2519.00 7858.77 6050 0.00
0.07 18 10588.00 7858.77 6050 0.00
0.07 19 1597.00 7645.05 6050 0.00
0.07 18 8552.00 7645.05 6050 0.00
