Time_proposed2 bufferSize_proposed2 hasThroughput_proposed2 estimatedBW_proposed2 videoLevel_proposed2 tcpThroughput_proposed2
0.06 0 0.00 0.00 450 0.00
0.06 0 591.00 0.00 450 0.00
0.06 7 0.00 963.23 700 0.00
0.06 10 1048.00 1055.67 700 0.00
0.06 17 227.00 1270.84 700 0.00
0.07 22 0.00 1408.33 700 0.00
0.07 23 0.00 1622.44 700 0.00
0.07 22 1425.00 1622.44 1200 0.00
0.07 23 0.00 2562.03 1200 0.00
0.07 24 0.00 4607.53 1950 0.00
0.07 23 2093.00 4607.53 1950 0.00
0.07 24 0.00 5631.31 1950 0.00
0.07 23 1048.00 5631.31 4250 0.00
0.07 22 5607.00 5631.31 4250 0.00
0.07 23 0.00 5693.23 4250 0.00
0.07 22 1175.00 5693.23 4250 0.00
0.08 21 6164.00 5693.23 4250 0.00
0.08 22 0.00 5596.60 4250 0.00
0.08 21 3248.00 5596.60 4250 0.00
0.08 22 0.00 5573.79 4250 0.00
0.08 21 2093.00 5573.79 4250 0.00
0.08 22 0.00 5603.39 4250 0.00
0.08 21 0.00 5603.39 4250 0.00
0.08 20 6909.00 5603.39 4250 0.00
0.08 21 0.00 5633.67 4250 0.00
0.09 20 4608.00 5633.67 4250 0.00
0.09 21 0.00 5595.82 4250 0.00
0.09 20 2334.00 5595.82 4250 0.00
0.09 21 0.00 5575.55 4250 0.00
0.09 20 1048.00 5575.55 4250 0.00
0.09 19 7610.00 5575.55 4250 0.00
0.09 20 1048.00 5556.14 4250 0.00
0.09 19 6152.00 5556.14 4250 0.00
0.09 20 0.00 5433.97 4250 0.00
0.09 19 4190.00 5433.97 4250 0.00
0.10 20 0.00 5339.89 4250 0.00
0.10 19 2617.00 5339.89 4250 0.00
0.10 18 8179.00 5339.89 4250 0.00
0.10 19 1048.00 5280.63 4250 0.00
0.10 18 6320.00 5280.63 4250 0.00
0.10 19 0.00 5126.17 4250 0.00
0.10 18 4341.00 5126.17 4250 0.00
0.10 19 0.00 4988.70 4250 0.00
0.10 18 2093.00 4988.70 4250 0.00
0.10 17 7360.00 4988.70 4250 0.00
0.10 18 1798.00 4886.69 4250 0.00
0.11 17 6320.00 4886.69 4250 0.00
0.11 18 0.00 4810.48 4250 0.00
0.11 17 4522.00 4810.48 4250 0.00
0.11 18 0.00 4812.91 4250 0.00
0.11 17 4190.00 4812.91 4250 0.00
0.11 18 0.00 4824.94 4250 0.00
0.11 17 4755.00 4824.94 4250 0.00
0.11 18 0.00 4831.82 4250 0.00
0.11 17 5267.00 4831.82 4250 0.00
0.12 18 0.00 4896.09 4250 0.00
