Time BufferSize VideoLevel DownloadTime RequestInterval BufferVariation
0.00 0.00 450 0.00 0.00 2.00
1.00 3.00 1200 0.15 0.00 1.85
2.00 8.00 1200 0.31 0.00 1.69
3.00 15.00 1200 0.31 0.00 1.69
4.00 18.00 1200 0.31 0.16 1.52
5.00 21.00 1200 0.31 0.35 1.33
6.00 22.00 1200 0.31 1.04 0.64
7.00 23.00 1950 0.48 1.26 0.27
8.00 22.00 1950 0.48 1.26 0.27
9.00 21.00 4250 0.48 1.26 0.27
10.00 22.00 4250 0.99 0.97 0.04
11.00 21.00 4250 0.99 0.97 0.04
12.00 22.00 4250 0.99 0.84 0.17
13.00 23.00 4250 0.99 1.26 -0.25
14.00 22.00 4250 0.99 1.26 -0.25
15.00 21.00 6050 0.99 1.26 -0.25
16.00 22.00 6050 1.39 1.20 -0.58
17.00 21.00 6050 1.39 1.20 -0.58
18.00 20.00 6050 1.39 1.20 -0.58
19.00 21.00 6050 1.39 0.95 -0.33
20.00 20.00 6050 1.39 0.95 -0.33
21.00 21.00 6050 1.39 0.91 -0.30
22.00 20.00 6050 1.39 0.91 -0.30
23.00 21.00 6050 1.39 0.69 -0.07
24.00 20.00 6050 1.39 0.69 -0.07
25.00 21.00 6050 1.39 0.66 -0.05
26.00 20.00 6050 1.39 0.66 -0.05
27.00 21.00 6050 1.39 0.65 -0.03
28.00 20.00 6050 1.39 0.65 -0.03
29.00 21.00 6050 1.39 0.63 -0.02
30.00 20.00 6050 1.39 0.63 -0.02
31.00 21.00 6050 1.39 0.62 -0.01
32.00 20.00 6050 1.39 0.62 -0.01
33.00 21.00 6050 1.39 0.62 -0.00
34.00 20.00 6050 1.39 0.62 -0.00
35.00 21.00 6050 1.39 0.61 0.00
36.00 20.00 6050 1.39 0.61 0.00
37.00 21.00 6050 1.39 0.61 0.01
38.00 20.00 6050 1.39 0.61 0.01
39.00 21.00 6050 1.39 0.60 0.01
40.00 20.00 6050 1.39 0.60 0.01
41.00 21.00 6050 1.39 0.60 0.02
42.00 20.00 6050 1.39 0.60 0.02
43.00 21.00 6050 1.39 0.60 0.02
44.00 20.00 6050 1.39 0.60 0.02
45.00 21.00 6050 1.39 0.59 0.02
46.00 20.00 6050 1.39 0.59 0.02
47.00 21.00 6050 1.39 0.59 0.02
48.00 20.00 6050 1.39 0.59 0.02
49.00 21.00 6050 1.39 0.59 0.02
50.00 20.00 6050 1.39 0.59 0.02
51.00 21.00 6050 1.39 0.59 0.02
52.00 20.00 6050 1.39 0.59 0.02
53.00 21.00 6050 1.39 0.59 0.03
54.00 20.00 6050 1.39 0.59 0.03
55.00 21.00 6050 1.39 0.59 0.03
56.00 20.00 6050 1.39 0.59 0.03
57.00 21.00 6050 1.39 0.59 0.03
58.00 20.00 6050 1.39 0.59 0.03
59.00 21.00 6050 1.39 0.59 0.03
60.00 20.00 6050 1.39 0.59 0.03
61.00 21.00 6050 1.39 0.59 0.03
62.00 20.00 6050 1.39 0.59 0.03
63.00 21.00 6050 1.39 0.59 0.03
64.00 20.00 6050 1.39 0.59 0.03
65.00 21.00 6050 1.39 0.59 0.03
66.00 20.00 6050 1.39 0.59 0.03
67.00 21.00 6050 1.39 0.79 -0.17
68.00 20.00 6050 1.39 0.79 -0.17
69.00 21.00 6050 1.39 0.59 0.03
70.00 20.00 6050 1.39 0.59 0.03
71.00 21.00 6050 1.39 0.59 0.03
72.00 20.00 6050 1.39 0.59 0.03
73.00 21.00 6050 1.39 0.59 0.03
74.00 20.00 6050 1.39 0.59 0.03
75.00 21.00 6050 1.39 0.59 0.03
76.00 20.00 6050 1.39 0.59 0.03
77.00 21.00 6050 1.39 0.59 0.03
78.00 20.00 6050 1.39 0.59 0.03
79.00 21.00 6050 1.39 0.59 0.03
80.00 20.00 6050 1.39 0.59 0.03
81.00 19.00 6050 1.39 0.59 0.03
82.00 20.00 6050 1.86 0.64 -0.51
83.00 19.00 6050 1.86 0.64 -0.51
84.00 18.00 6050 1.86 0.64 -0.51
85.00 19.00 6050 2.67 0.59 -1.26
86.00 18.00 6050 2.67 0.59 -1.26
87.00 17.00 6050 2.67 0.59 -1.26
88.00 18.00 6050 2.67 0.33 -1.00
89.00 17.00 6050 2.67 0.33 -1.00
90.00 16.00 6050 2.67 0.33 -1.00
91.00 17.00 6050 2.67 0.26 -0.93
92.00 16.00 6050 2.67 0.26 -0.93
93.00 15.00 6050 2.67 0.26 -0.93
