Time BufferSize ChunkCount DownloadTime RequestInterval BufferVariation
0.65 2.00 1 450.00 0.65 0.00
0.79 3.00 2 450.00 0.15 0.00
1.10 5.00 3 1200.00 0.31 0.00
1.42 7.00 4 1200.00 0.31 0.00
1.73 8.00 5 1200.00 0.31 0.00
2.04 10.00 6 1200.00 0.31 0.00
2.36 12.00 7 1200.00 0.31 0.00
2.67 13.00 8 1200.00 0.31 0.00
2.98 15.00 9 1200.00 0.31 0.00
3.30 17.00 10 1200.00 0.31 0.00
3.61 19.00 11 1200.00 0.31 0.16
4.09 20.00 12 1200.00 0.31 0.33
4.73 21.00 13 1200.00 0.31 0.49
5.53 23.00 14 1200.00 0.31 0.84
6.68 23.00 15 1200.00 0.31 0.77
7.76 24.00 16 1200.00 0.31 0.90
8.97 25.00 17 1200.00 0.31 1.66
11.11 25.00 18 1950.00 0.48 1.51
13.10 25.00 19 1950.00 0.48 1.37
14.94 25.00 20 1950.00 0.48 1.24
16.66 25.00 21 1950.00 0.48 1.12
18.26 26.00 22 1950.00 0.48 1.61
20.59 26.00 23 3050.00 0.72 1.47
22.79 25.00 24 3050.00 0.72 1.35
24.86 25.00 25 3050.00 0.72 1.25
26.84 25.00 26 3050.00 0.72 1.61
29.44 25.00 27 4250.00 0.99 1.50
31.93 24.00 28 4250.00 0.99 1.20
34.11 24.00 29 4250.00 0.99 1.11
36.21 24.00 30 4250.00 0.99 1.04
38.24 24.00 31 4250.00 0.99 1.48
41.11 23.00 32 6050.00 1.39 1.22
43.71 22.00 33 6050.00 1.39 0.97
46.06 22.00 34 6050.00 1.39 0.93
48.38 22.00 35 6050.00 1.39 0.90
50.66 21.00 36 6050.00 1.39 0.67
52.71 21.00 37 6050.00 1.39 0.65
54.75 21.00 38 6050.00 1.39 0.64
56.78 21.00 39 6050.00 1.39 0.63
58.79 21.00 40 6050.00 1.39 0.62
60.80 21.00 41 6050.00 1.39 0.62
63.69 20.00 42 6050.00 2.27 0.64
66.02 20.00 43 6050.00 1.69 0.85
68.52 20.00 44 6050.00 1.65 0.43
69.94 20.00 45 4250.00 0.99 0.55
71.48 21.00 46 4250.00 0.99 0.85
73.54 21.00 47 4250.00 1.22 0.92
75.68 20.00 48 4250.00 1.22 0.77
77.44 21.00 49 4250.00 0.99 1.00
79.65 20.00 50 4250.00 1.22 0.79
81.78 20.00 51 4250.00 1.33 0.78
83.55 21.00 52 4250.00 0.99 0.95
85.48 21.00 53 4250.00 0.99 0.91
87.38 21.00 54 4250.00 0.99 0.88
89.24 21.00 55 4250.00 0.99 0.84
91.09 21.00 56 4250.00 1.01 0.80
92.87 21.00 57 4250.00 0.99 0.76
95.45 21.00 58 4250.00 1.82 0.78
97.91 20.00 59 4250.00 1.68 0.60
99.73 20.00 60 4250.00 1.22 0.60
101.38 21.00 61 4250.00 1.05 0.78
103.39 21.00 62 4250.00 1.24 0.76
105.64 21.00 63 4250.00 1.49 0.75
107.91 20.00 64 4250.00 1.52 0.54
110.15 20.00 65 4250.00 1.70 0.62
112.66 19.00 66 4250.00 1.89 0.44
114.78 19.00 67 4250.00 1.68 0.40
116.52 20.00 68 4250.00 1.33 0.55
118.17 20.00 69 4250.00 1.10 0.50
120.05 20.00 70 4250.00 1.38 0.48
124.30 18.00 71 4250.00 3.78 0.34
128.43 16.00 72 4250.00 3.79 0.17
132.59 14.00 73 4250.00 3.98 0.00
136.69 11.00 74 4250.00 4.10 0.00
139.47 11.00 75 3050.00 2.79 0.00
141.32 11.00 76 3050.00 1.85 0.00
142.51 12.00 77 3050.00 1.19 0.00
143.62 13.00 78 3050.00 1.10 0.00
144.76 13.00 79 3050.00 1.14 0.00
145.91 14.00 80 3050.00 1.15 0.00
146.75 15.00 81 3050.00 0.84 0.00
147.74 16.00 82 3050.00 0.99 0.00
148.89 17.00 83 3050.00 1.15 0.11
149.84 18.00 84 3050.00 0.84 0.26
150.83 19.00 85 3050.00 0.73 0.41
151.99 20.00 86 3050.00 0.75 0.56
153.28 21.00 87 3050.00 0.74 0.71
154.73 21.00 88 3050.00 0.73 0.67
156.31 22.00 89 3050.00 0.92 0.82
158.20 22.00 90 3050.00 1.07 0.78
159.71 22.00 91 3050.00 0.72 0.74
162.38 22.00 92 3050.00 1.93 0.75
165.23 21.00 93 3050.00 2.10 0.77
168.09 20.00 94 3050.00 2.09 0.77
170.95 19.00 95 3050.00 2.10 0.72
173.93 18.00 96 3050.00 2.26 0.00
175.73 18.00 97 1950.00 1.80 0.00
177.19 19.00 98 1950.00 1.46 0.21
179.18 19.00 99 1950.00 1.77 0.37
180.84 19.00 100 1950.00 1.29 0.48
182.21 20.00 101 1950.00 0.89 0.74
183.43 21.00 102 1950.00 0.48 0.97
184.87 21.00 103 1950.00 0.48 0.95
186.41 22.00 104 1950.00 0.59 1.08
188.21 22.00 105 1950.00 0.71 1.00
189.91 22.00 106 1950.00 0.71 0.90
191.29 23.00 107 1950.00 0.48 1.00
192.76 23.00 108 1950.00 0.48 0.90
194.49 24.00 109 1950.00 0.83 1.01
195.98 24.00 110 1950.00 0.48 0.93
197.39 25.00 111 1950.00 0.48 1.65
199.76 24.00 112 3050.00 0.72 1.33
202.47 24.00 113 3050.00 1.38 1.26
205.50 23.00 114 3050.00 1.77 1.10
208.37 22.00 115 3050.00 1.76 0.96
211.22 21.00 116 3050.00 1.90 0.82
214.09 20.00 117 3050.00 2.04 0.71
216.94 19.00 118 3050.00 2.15 0.58
220.01 18.00 119 3050.00 2.49 0.00
221.00 19.00 120 1950.00 0.99 0.21
221.91 20.00 121 1950.00 0.71 0.49
222.88 21.00 122 1950.00 0.48 0.75
224.11 22.00 123 1950.00 0.48 0.98
225.57 23.00 124 1950.00 0.48 1.16
227.21 23.00 125 1950.00 0.48 1.10
228.79 23.00 126 1950.00 0.48 1.03
230.29 24.00 127 1950.00 0.48 1.14
231.91 24.00 128 1950.00 0.48 1.05
233.44 25.00 129 1950.00 0.48 1.17
235.09 25.00 130 1950.00 0.48 1.70
237.91 24.00 131 3050.00 1.13 1.36
240.44 24.00 132 3050.00 1.16 1.27
243.76 22.00 133 3050.00 2.05 0.90
246.63 22.00 134 3050.00 1.97 1.06
249.49 21.00 135 3050.00 1.80 0.99
252.46 20.00 136 3050.00 1.97 0.87
255.43 19.00 137 3050.00 2.10 0.67
258.59 18.00 138 3050.00 2.49 0.00
260.31 18.00 139 1950.00 1.73 0.06
261.08 19.00 140 1950.00 0.71 0.32
261.89 20.00 141 1950.00 0.48 0.57
262.93 21.00 142 1950.00 0.48 0.78
264.19 22.00 143 1950.00 0.48 0.96
265.62 23.00 144 1950.00 0.48 1.11
267.21 23.00 145 1950.00 0.48 1.04
268.73 23.00 146 1950.00 0.48 0.95
270.16 24.00 147 1950.00 0.48 1.07
271.70 24.00 148 1950.00 0.48 0.98
273.17 25.00 149 1950.00 0.48 1.11
274.75 25.00 150 1950.00 0.48 1.61
277.09 25.00 151 3050.00 0.72 1.50
279.31 25.00 152 3050.00 0.72 1.38
281.41 25.00 153 3050.00 0.72 1.28
283.42 25.00 154 3050.00 0.72 1.66
286.74 23.00 155 4250.00 1.66 1.21
289.64 23.00 156 4250.00 1.68 1.24
292.53 22.00 157 4250.00 1.65 1.05
295.14 21.00 158 4250.00 1.57 0.83
297.54 21.00 159 4250.00 1.57 0.82
299.92 20.00 160 4250.00 1.57 0.61
