Time2 BufferSize2 ChunkCount2 DownloadTime2 RequestInterval2 BufferVariation2
61.11 2.00 1 450.00 1.11 0.00
61.26 3.00 2 450.00 0.15 0.00
61.46 5.00 3 700.00 0.20 0.00
61.85 7.00 4 700.00 0.40 0.00
62.24 8.00 5 700.00 0.39 0.00
62.63 10.00 6 700.00 0.39 0.00
63.02 12.00 7 700.00 0.39 0.00
63.41 13.00 8 700.00 0.39 0.00
63.73 15.00 9 700.00 0.32 0.00
63.93 17.00 10 700.00 0.20 0.00
64.14 18.00 11 700.00 0.20 0.00
64.34 20.00 12 700.00 0.20 0.06
64.79 22.00 13 700.00 0.39 0.43
65.61 23.00 14 700.00 0.39 1.29
67.53 23.00 15 1200.00 0.63 1.15
68.99 24.00 16 1200.00 0.31 1.20
70.50 24.00 17 1200.00 0.31 1.05
71.86 25.00 18 1200.00 0.31 1.11
73.58 25.00 19 1200.00 0.60 1.62
75.88 25.00 20 1950.00 0.68 1.44
77.87 25.00 21 1950.00 0.55 1.29
79.85 25.00 22 1950.00 0.69 1.16
81.86 25.00 23 1950.00 0.85 1.68
84.27 24.00 24 3050.00 0.72 1.35
86.34 24.00 25 3050.00 0.72 1.23
88.30 24.00 26 3050.00 0.72 1.13
90.15 24.00 27 3050.00 0.72 1.04
91.91 25.00 28 3050.00 0.72 1.62
95.32 23.00 29 4250.00 1.80 1.18
98.16 22.00 30 4250.00 1.66 1.02
100.44 22.00 31 4250.00 1.26 1.03
102.69 22.00 32 4250.00 1.22 1.03
105.16 21.00 33 4250.00 1.45 0.81
107.43 21.00 34 4250.00 1.46 0.79
109.90 21.00 35 4250.00 1.68 0.83
112.64 20.00 36 4250.00 1.91 0.69
115.03 20.00 37 4250.00 1.69 0.73
117.11 20.00 38 4250.00 1.35 0.74
119.22 19.00 39 4250.00 1.38 0.53
122.33 18.00 40 4250.00 2.58 0.04
124.94 18.00 41 3050.00 2.58 0.20
127.90 17.00 42 3050.00 2.76 0.00
130.60 16.00 43 3050.00 2.69 0.00
133.34 15.00 44 3050.00 2.74 0.00
135.19 15.00 45 1950.00 1.85 0.00
136.98 16.00 46 1950.00 1.79 0.00
138.77 16.00 47 1950.00 1.79 0.00
140.53 16.00 48 1950.00 1.76 0.00
141.41 17.00 49 1950.00 0.87 0.00
142.31 18.00 50 1950.00 0.90 0.15
143.29 19.00 51 1950.00 0.83 0.32
144.43 20.00 52 1950.00 0.83 0.47
145.81 21.00 53 1950.00 0.90 0.63
147.30 21.00 54 1950.00 0.86 0.58
148.78 22.00 55 1950.00 0.90 0.73
150.16 22.00 56 1950.00 0.66 0.67
151.31 23.00 57 1950.00 0.48 0.82
152.61 24.00 58 1950.00 0.48 0.96
154.05 25.00 59 1950.00 0.48 1.10
155.85 25.00 60 1950.00 0.69 1.63
158.53 24.00 61 3050.00 1.05 1.32
161.26 23.00 62 3050.00 1.42 1.07
164.12 22.00 63 3050.00 1.78 0.93
166.98 22.00 64 3050.00 1.93 1.01
169.84 21.00 65 3050.00 1.85 0.86
172.70 20.00 66 3050.00 2.00 0.75
175.97 19.00 67 3050.00 2.52 0.73
179.23 17.00 68 3050.00 2.53 0.00
180.55 18.00 69 1950.00 1.32 0.00
181.15 19.00 70 1950.00 0.60 0.15
182.12 20.00 71 1950.00 0.82 0.34
182.94 22.00 72 1950.00 0.48 0.72
184.14 22.00 73 1950.00 0.48 0.69
185.31 23.00 74 1950.00 0.48 0.85
186.73 24.00 75 1950.00 0.57 1.00
188.41 24.00 76 1950.00 0.68 0.94
190.11 24.00 77 1950.00 0.77 1.49
192.32 24.00 78 3050.00 0.72 1.38
194.82 24.00 79 3050.00 1.11 1.28
196.82 24.00 80 3050.00 0.72 1.18
198.72 24.00 81 3050.00 0.72 1.09
200.89 24.00 82 3050.00 1.08 1.03
203.77 23.00 83 3050.00 1.85 0.87
206.62 22.00 84 3050.00 1.99 0.86
209.48 21.00 85 3050.00 2.00 0.83
212.46 20.00 86 3050.00 2.15 0.76
215.33 19.00 87 3050.00 2.11 0.64
218.18 18.00 88 3050.00 2.21 0.49
220.80 18.00 89 3050.00 2.13 0.55
222.36 18.00 90 3050.00 1.01 0.55
223.63 19.00 91 3050.00 0.72 0.73
225.08 20.00 92 3050.00 0.72 0.89
226.69 20.00 93 3050.00 0.72 0.83
228.23 20.00 94 3050.00 0.72 0.75
229.71 21.00 95 3050.00 0.72 0.88
231.31 21.00 96 3050.00 0.72 0.80
232.83 22.00 97 3050.00 0.72 0.93
234.48 22.00 98 3050.00 0.72 0.85
236.06 23.00 99 3050.00 0.72 0.98
