Time BufferSize ChunkCount DownloadTime RequestInterval BufferVariation
0.65 2.00 1 450.00 0.65 0.00
0.79 3.00 2 450.00 0.15 0.00
1.10 5.00 3 1200.00 0.31 0.00
1.42 7.00 4 1200.00 0.31 0.00
1.73 8.00 5 1200.00 0.31 0.00
2.04 10.00 6 1200.00 0.31 0.00
2.36 12.00 7 1200.00 0.31 0.00
2.67 13.00 8 1200.00 0.31 0.00
2.98 15.00 9 1200.00 0.31 0.00
3.30 17.00 10 1200.00 0.31 0.00
3.61 19.00 11 1200.00 0.31 0.16
4.09 20.00 12 1200.00 0.31 0.33
4.73 21.00 13 1200.00 0.31 0.35
5.39 23.00 14 1200.00 0.31 1.04
6.92 23.00 15 1950.00 0.48 1.26
9.16 23.00 16 4250.00 0.99 0.97
11.12 23.00 17 4250.00 0.99 0.84
12.95 23.00 18 4250.00 0.99 1.26
15.60 23.00 19 6050.00 1.39 1.20
18.18 22.00 20 6050.00 1.39 0.95
20.51 22.00 21 6050.00 1.39 0.91
22.81 21.00 22 6050.00 1.39 0.69
24.88 21.00 23 6050.00 1.39 0.66
26.93 21.00 24 6050.00 1.39 0.65
28.96 21.00 25 6050.00 1.39 0.63
30.98 21.00 26 6050.00 1.39 0.62
32.99 21.00 27 6050.00 1.39 0.62
34.99 21.00 28 6050.00 1.39 0.61
36.99 21.00 29 6050.00 1.39 0.61
38.98 21.00 30 6050.00 1.39 0.60
40.97 21.00 31 6050.00 1.39 0.60
42.95 21.00 32 6050.00 1.39 0.60
44.93 21.00 33 6050.00 1.39 0.59
46.91 21.00 34 6050.00 1.39 0.59
48.88 21.00 35 6050.00 1.39 0.59
50.86 21.00 36 6050.00 1.39 0.59
52.84 21.00 37 6050.00 1.39 0.59
54.81 21.00 38 6050.00 1.39 0.59
56.78 21.00 39 6050.00 1.39 0.59
58.76 21.00 40 6050.00 1.39 0.59
60.73 21.00 41 6050.00 1.39 0.59
62.70 21.00 42 6050.00 1.39 0.59
64.67 21.00 43 6050.00 1.39 0.59
66.64 22.00 44 6050.00 1.39 0.79
68.82 21.00 45 6050.00 1.39 0.59
70.79 21.00 46 6050.00 1.39 0.59
72.76 21.00 47 6050.00 1.39 0.59
74.73 21.00 48 6050.00 1.39 0.59
76.70 21.00 49 6050.00 1.39 0.59
78.67 21.00 50 6050.00 1.39 0.59
81.12 21.00 51 6050.00 1.86 0.64
84.43 20.00 52 6050.00 2.67 0.59
87.69 18.00 53 6050.00 2.67 0.33
90.69 17.00 54 6050.00 2.67 0.26
93.62 17.00 55 6050.00 2.67 0.38
96.67 15.00 56 6050.00 2.67 0.00
98.66 15.00 57 4250.00 2.00 0.00
100.43 16.00 58 4250.00 1.76 0.00
101.41 17.00 59 4250.00 0.99 0.05
102.45 18.00 60 4250.00 0.99 0.26
103.70 18.00 61 4250.00 0.99 0.27
104.95 19.00 62 4250.00 0.99 0.46
106.40 20.00 63 4250.00 0.99 0.64
108.02 20.00 64 4250.00 0.99 0.61
109.62 21.00 65 4250.00 0.99 0.78
111.40 21.00 66 4250.00 0.99 0.75
113.14 21.00 67 4250.00 0.99 0.72
114.84 21.00 68 4250.00 0.99 0.68
116.52 22.00 69 4250.00 0.99 0.85
118.35 22.00 70 4250.00 0.99 0.82
120.19 22.00 71 4250.00 1.02 0.78
122.80 21.00 72 4250.00 1.82 0.61
125.23 21.00 73 4250.00 1.82 0.68
127.73 20.00 74 4250.00 1.82 0.54
130.09 20.00 75 4250.00 1.82 0.59
132.50 20.00 76 4250.00 1.82 0.63
134.95 19.00 77 4250.00 1.82 0.46
137.23 19.00 78 4250.00 1.82 0.49
139.55 19.00 79 4250.00 1.82 0.52
141.06 19.00 80 4250.00 0.99 0.52
142.56 20.00 81 4250.00 0.99 0.70
144.25 20.00 82 4250.00 0.99 0.68
145.92 20.00 83 4250.00 0.99 0.66
147.56 21.00 84 4250.00 0.99 0.82
149.37 21.00 85 4250.00 0.99 0.79
151.15 21.00 86 4250.00 0.99 0.75
152.89 21.00 87 4250.00 0.99 0.72
154.60 22.00 88 4250.00 0.99 0.88
156.47 22.00 89 4250.00 0.99 0.84
158.30 22.00 90 4250.00 0.99 0.81
160.09 22.00 91 4250.00 0.99 0.77
162.69 21.00 92 4250.00 1.82 0.60
165.12 21.00 93 4250.00 1.82 0.67
167.61 21.00 94 4250.00 1.82 0.73
170.16 20.00 95 4250.00 1.82 0.58
172.56 20.00 96 4250.00 1.82 0.62
175.01 19.00 97 4250.00 1.82 0.46
177.29 19.00 98 4250.00 1.82 0.49
179.60 19.00 99 4250.00 1.82 0.51
181.11 19.00 100 4250.00 0.99 0.51
182.61 20.00 101 4250.00 0.99 0.70
184.30 20.00 102 4250.00 0.99 0.68
185.97 20.00 103 4250.00 0.99 0.65
187.61 21.00 104 4250.00 0.99 0.82
189.42 21.00 105 4250.00 0.99 0.79
191.20 21.00 106 4250.00 0.99 0.75
192.94 21.00 107 4250.00 0.99 0.72
194.64 22.00 108 4250.00 0.99 0.88
196.51 22.00 109 4250.00 0.99 0.84
198.34 22.00 110 4250.00 0.99 0.81
200.16 22.00 111 4250.00 1.01 0.77
202.76 21.00 112 4250.00 1.82 0.60
205.18 21.00 113 4250.00 1.82 0.67
207.68 20.00 114 4250.00 1.82 0.53
210.03 20.00 115 4250.00 1.82 0.58
212.43 20.00 116 4250.00 1.82 0.62
214.88 19.00 117 4250.00 1.82 0.46
217.16 19.00 118 4250.00 1.82 0.49
219.48 19.00 119 4250.00 1.82 0.52
220.98 19.00 120 4250.00 0.99 0.51
222.48 20.00 121 4250.00 0.99 0.70
224.17 20.00 122 4250.00 0.99 0.68
225.84 20.00 123 4250.00 0.99 0.65
227.48 21.00 124 4250.00 0.99 0.82
229.29 21.00 125 4250.00 0.99 0.79
231.07 21.00 126 4250.00 0.99 0.75
232.81 21.00 127 4250.00 0.99 0.72
234.51 22.00 128 4250.00 0.99 0.88
236.38 22.00 129 4250.00 0.99 0.84
238.21 22.00 130 4250.00 0.99 0.81
240.01 22.00 131 4250.00 0.99 0.77
242.61 22.00 132 4250.00 1.82 0.80
245.23 21.00 133 4250.00 1.82 0.67
247.72 20.00 134 4250.00 1.82 0.53
250.07 20.00 135 4250.00 1.82 0.58
252.48 20.00 136 4250.00 1.82 0.62
254.92 19.00 137 4250.00 1.82 0.46
257.20 19.00 138 4250.00 1.82 0.49
259.52 19.00 139 4250.00 1.82 0.51
261.02 19.00 140 4250.00 0.99 0.51
262.52 20.00 141 4250.00 0.99 0.70
264.21 20.00 142 4250.00 0.99 0.68
265.88 20.00 143 4250.00 0.99 0.65
267.52 21.00 144 4250.00 0.99 0.82
269.33 21.00 145 4250.00 0.99 0.79
271.11 21.00 146 4250.00 0.99 0.75
272.85 21.00 147 4250.00 0.99 0.72
274.55 22.00 148 4250.00 0.99 0.88
276.42 22.00 149 4250.00 0.99 0.84
278.25 22.00 150 4250.00 0.99 0.81
280.05 22.00 151 4250.00 0.99 0.77
281.81 22.00 152 4250.00 0.99 0.74
283.54 23.00 153 4250.00 0.99 0.91
285.43 23.00 154 4250.00 0.99 0.88
287.30 23.00 155 4250.00 0.99 0.85
289.13 23.00 156 4250.00 0.99 0.82
290.94 23.00 157 4250.00 0.99 1.29
293.62 23.00 158 6050.00 1.39 1.04
296.04 22.00 159 6050.00 1.39 0.79
298.22 22.00 160 6050.00 1.39 0.78
